T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
65.4260308393026,270736136.728883,284419497.793513,570920926.372992,527305865.475895,841657063.101875,811725363.269408,12864253.760087,12406764.6000992
65.610562292047,273120226.909578,286718992.267034,578192826.614432,534453883.468547,851313053.52401,821172875.735581,12975243.988915,12515864.0183063
65.7950937447914,275524857.005719,289038678.774191,585526956.371477,541664636.666887,861051813.377196,830703315.441079,13086869.6229139,12625611.8563662
65.9796251975358,277950144.338168,291378677.259507,592923666.275737,548938481.619319,870873810.613905,840317158.878826,13199132.4293137,12736009.8880967
66.1641566502801,280396206.458087,293739107.729002,600383308.808935,556275774.791129,880779515.267022,850014882.520131,13312034.1927307,12847059.8832497
66.3486881030245,282863161.675811,296120090.692469,607906242.5515,563676870.902266,890769404.227311,859796961.594734,13425576.7550946,12958763.5620031
66.5332195557689,285351128.457878,298521747.004596,615492827.338718,571142123.477756,900843955.796597,869663870.482351,13539761.9701275,13071122.6105945
66.7177510085133,287860225.312767,300944197.606865,623143423.05489,578671886.913614,911003648.367657,879616084.520479,13654591.6904319,13184138.7244738
66.9022824612577,290390571.390353,303387564.021516,630858390.333984,586266522.091271,921248961.724336,889654086.112787,13770067.7514847,13297813.6706932
67.0868139140021,292942286.341476,305851968.026816,638638090.395488,593926392.751258,931580376.736964,899778360.778075,13886191.9753867,13412149.2478705
67.2713453667464,295515489.830649,308337531.543491,646482884.474585,601651862.965966,941998374.305233,909989394.509457,14002966.183869,13527147.2531071
67.4558768194908,298110301.790526,310844377.115699,654393133.906551,609443298.216483,952503435.697077,920287675.332182,14120392.1880037,13642809.4762071
67.6404082722352,300726842.896265,313372627.459771,662369200.303835,617301064.372056,963096043.2001,930673691.831827,14238471.7693476,13759137.7049464
67.8249397249796,303365233.950481,315922405.514825,670411445.326465,625225527.212967,973776679.276945,941147932.727792,14357206.7043908,13876133.7161397
68.009471177724,306025595.808886,318493834.82846,678520230.75208,633217052.276481,984545826.560966,951710887.104941,14476598.7690427,13993799.2566619
68.1940026304683,308708049.97386,321087039.054997,686695919.790723,641276005.124828,995403969.764583,962363044.179825,14596649.7321397,14112136.0691189
68.3785340832127,311412718.379391,323702142.165106,694938876.608473,649402756.850219,1006351594.98786,973104899.015325,14717361.3577972,14231145.9627388
68.5630655359571,314139722.968525,326339268.679672,703249465.399824,657597688.16293,1017389188.36835,983936956.842602,14838735.410152,14350830.8626228
68.7475969887015,316889185.997858,328998543.191577,711628053.255881,665861180.882658,1028517239.25374,994859724.074234,14960773.6816656,14471192.706903
68.9321284414459,319661230.456462,331680090.786417,720075014.034463,674193621.09539,1039736244.49093,1005873711.88181,15083478.0309683,14592233.4753598
69.1166598941902,322455979.437826,334384037.10827,728590722.558015,682595399.722867,1051046701.99584,1016979436.83114,15206850.3261227,14713955.1949803
